marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,catégorie,Moyenne cout energie,Moyenne Rejet CO2,Moyenne Bonus Malus
Volvo,S80 T6,272,très longue,5,5,blanc,false,50500,routière,72,42,0
Volvo,S80 T6,272,très longue,5,5,noir,false,50500,routière,72,42,0
Volvo,S80 T6,272,très longue,5,5,rouge,false,50500,routière,72,42,0
Volvo,S80 T6,272,très longue,5,5,gris,true,35350,routière,72,42,0
Volvo,S80 T6,272,très longue,5,5,bleu,true,35350,routière,72,42,0
Volvo,S80 T6,272,très longue,5,5,gris,false,50500,routière,72,42,0
Volvo,S80 T6,272,très longue,5,5,bleu,false,50500,routière,72,42,0
Volvo,S80 T6,272,très longue,5,5,rouge,true,35350,routière,72,42,0
Volvo,S80 T6,272,très longue,5,5,blanc,true,35350,routière,72,42,0
Volvo,S80 T6,272,très longue,5,5,noir,true,35350,routière,72,42,0
Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,false,27340,monospace,96,23,-1714
Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,true,19138,monospace,96,23,-1714
Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,true,19138,monospace,96,23,-1714
Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,false,27340,monospace,96,23,-1714
Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,false,27340,monospace,96,23,-1714
Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,true,19138,monospace,96,23,-1714
Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,true,19138,monospace,96,23,-1714
Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,true,19138,monospace,96,23,-1714
Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,false,27340,monospace,96,23,-1714
Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,false,27340,monospace,96,23,-1714
Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,true,8540,citadine,96,23,-1714
Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200,citadine,96,23,-1714
Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200,citadine,96,23,-1714
Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,true,8540,citadine,96,23,-1714
Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,true,8540,citadine,96,23,-1714
Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200,citadine,96,23,-1714
Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,true,8540,citadine,96,23,-1714
Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200,citadine,96,23,-1714
Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200,citadine,96,23,-1714
Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,true,8540,citadine,96,23,-1714
Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,true,18641,coupé,96,23,-1714
Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,true,18641,coupé,96,23,-1714
Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,true,18641,coupé,96,23,-1714
Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,true,18641,coupé,96,23,-1714
Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,true,18641,coupé,96,23,-1714
Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,false,26630,coupé,96,23,-1714
Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,false,26630,coupé,96,23,-1714
Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,false,26630,coupé,96,23,-1714
Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,false,26630,coupé,96,23,-1714
